PeakID (cmd=TPR1_QuEST_peaks.bed tair10)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
R-2	Chr1	23895230	23896396	+	830703	NA	Intergenic	Intergenic	-3640	AT1G64380.1	842745	At.67835	NM_105113		AT1G64380	F15H21.12|F15H21_12	ethylene-responsive transcription factor ERF061	protein-coding
R-4	Chr1	22033542	22034522	+	607978	NA	promoter-TSS (AT1G59870.1)	promoter-TSS (AT1G59870.1)	-474	AT1G59870.1	842281	At.24243	NM_104680		PEN3	ABCG36|ARABIDOPSIS PLEIOTROPIC DRUG RESISTANCE 8|ARABIDOPSIS THALIANA ATP-BINDING CASSETTE G36|ATABCG36|ATP-BINDING CASSETTE G36|ATPDR8|F23H11.19|F23H11_19|PDR8|PENETRATION 3|PLEIOTROPIC DRUG RESISTANCE 8	ABC transporter G family member 36	protein-coding
R-5	Chr1	29353753	29354591	+	591123	NA	promoter-TSS (AT1G78070.1)	promoter-TSS (AT1G78070.1)	-850	AT1G78070.1	844142	At.19130	NM_106456		AT1G78070	F28K19.28|F28K19_28	transducin/WD-40 repeat-containing protein	protein-coding
R-7	Chr4	12156784	12157695	+	551996	NA	promoter-TSS (AT4G23220.1)	promoter-TSS (AT4G23220.1)	-148	AT4G23220.1	828421	At.2200	NM_118451		CRK14	F21P8.110|F21P8_110|cysteine-rich RLK (RECEPTOR-like protein kinase) 14	cysteine-rich receptor-like protein kinase 14	protein-coding
R-8	Chr3	5377984	5378186	+	547782	NA	promoter-TSS (AT3G15900.1)	promoter-TSS (AT3G15900.1)	-906	AT3G15900.1	820833	At.66462	NM_112460		AT3G15900	-	hypothetical protein	protein-coding
R-9	Chr5	23057651	23059755	+	546578	NA	promoter-TSS (AT5G56980.1)	promoter-TSS (AT5G56980.1)	-961	AT5G56980.1	835800	At.7095	NM_125080		AT5G56980	MHM17.10|MHM17_10	hypothetical protein	protein-coding
R-10	Chr1	4879071	4879951	+	532131	NA	TTS (AT1G14280.1)	TTS (AT1G14280.1)	1884	AT1G14280.1	837989	At.74218	NM_101294		PKS2	F14L17.4|F14L17_4|phytochrome kinase substrate 2	phytochrome kinase substrate 2	protein-coding
R-11	Chr5	25398155	25400247	+	521898	NA	Intergenic	Intergenic	-1048	AT5G63410.1	836460	At.23707	NM_125736		AT5G63410	MLE2.4|MLE2_4	Leucine-rich repeat protein kinase family protein	protein-coding
R-12	Chr5	26900961	26902639	+	502033	NA	Intergenic	Intergenic	-2703	AT5G67411.1	3771574	At.65711	NM_001037090		AT5G67411	-	putative scarecrow-like protein 16	protein-coding
R-13	Chr1	30379162	30380799	+	481567	NA	Intergenic	Intergenic	3609	AT1G80831.1	6240317	At.73802	NM_001124155		AT1G80831	-	hypothetical protein	protein-coding
R-15	Chr1	21706657	21707551	+	468324	NA	promoter-TSS (AT1G58420.1)	promoter-TSS (AT1G58420.1)	-275	AT1G58420.1	842211	At.42952	NM_104622		AT1G58420	F9K23.5|F9K23_5	hypothetical protein	protein-coding
R-16	Chr2	301998	302539	+	451469	NA	Intergenic	Intergenic	-4117	AT2G01680.1	814697	At.26721	NM_126229		AT2G01680	T8O11.15|T8O11_15	ankyrin repeats-containing protein	protein-coding
R-17	Chr4	12393851	12394767	+	450265	NA	promoter-TSS (AT4G23810.1)	promoter-TSS (AT4G23810.1)	-327	AT4G23810.1	828481	At.71059	NM_118512		WRKY53	ATWRKY53|T32A16.2	putative WRKY transcription factor 53	protein-coding
R-18	Chr5	24063551	24064249	+	449061	NA	promoter-TSS (AT5G59732.1)	promoter-TSS (AT5G59732.1)	-578	AT5G59732.1	5008316				AT5G59732	-	ncRNA	ncRNA
R-19	Chr5	3402187	3402656	+	44244	NA	promoter-TSS (AT5G10760.1)	promoter-TSS (AT5G10760.1)	-214	AT5G10760.1	830943	At.32338	NM_121114		AT5G10760	MAJ23.1	aspartyl protease family protein	protein-coding
R-21	Chr3	5241882	5242277	+	429798	NA	Intergenic	Intergenic	-1431	AT3G15510.1	820790	At.10489	NM_112419		NAC2	ANAC056|ATNAC2|Arabidopsis NAC domain containing protein 56|NAC domain containing protein 2|NAC-REGULATED SEED MORPHOLOGY 1|NARS1	NAC domain containing protein 2	protein-coding
R-22	Chr1	3773364	3774279	+	406924	NA	Intergenic	Intergenic	-3507	AT1G11260.1	837667	At.74867	NM_100998		STP1	ATSTP1|SUGAR TRANSPORTER 1|T28P6.9|T28P6_9|sugar transporter 1	sugar transporter 1	protein-coding
R-24	Chr3	6564944	6565518	+	401506	NA	promoter-TSS (AT3G19035.1)	promoter-TSS (AT3G19035.1)	-718	AT3G19035.1	6240966	At.73660	NM_001125186		AT3G19035	-	hypothetical protein	protein-coding
R-25	Chr1	28745397	28746467	+	400302	NA	promoter-TSS (AT1G76600.1)	promoter-TSS (AT1G76600.1)	-956	AT1G76600.1	843993	At.19394	NM_106310		AT1G76600	F14G6.20|F14G6_20	hypothetical protein	protein-coding
R-26	Chr2	15139496	15140237	+	399701	NA	TTS (AT2G36053.1)	TTS (AT2G36053.1)	870	AT2G36053.1	6240834	At.73732	NM_001124978		AT2G36053	-	hypothetical protein	protein-coding
R-28	Chr1	23023255	23024452	+	396691	NA	Intergenic	Intergenic	-3168	AT1G62301.1	6241312	At.73819	NM_001124060		AT1G62301	-	hypothetical protein	protein-coding
R-29	Chr2	16439981	16441376	+	393681	NA	promoter-TSS (AT2G39360.1)	promoter-TSS (AT2G39360.1)	-524	AT2G39360.1	818521	At.19567	NM_129493		AT2G39360	F12L6.2|F12L6_2	putative receptor-like protein kinase	protein-coding
R-30	Chr1	18627827	18628015	+	388865	NA	TTS (AT1G50300.1)	TTS (AT1G50300.1)	513	AT1G50290.1	841451	At.27053	NM_103913		AT1G50290	F14I3.24|F14I3_24	hypothetical protein	protein-coding
R-31	Chr1	30266374	30268998	+	386457	NA	promoter-TSS (AT1G80490.2)	promoter-TSS (AT1G80490.2)	-648	AT1G80490.2	844388	At.25188	NM_106697		TPR1	T21F11.18|T21F11_18|TOPLESS-related 1	Topless-related protein 1	protein-coding
R-32	Chr4	17050337	17050659	+	382846	NA	promoter-TSS (AT4G36040.1)	promoter-TSS (AT4G36040.1)	-224	AT4G36040.1	829760	At.20876	NM_119771		AT4G36040	T19K4.170|T19K4_170	chaperone protein dnaJ 11	protein-coding
R-33	Chr2	9516799	9517749	+	380438	NA	TTS (AT2G22426.1)	TTS (AT2G22426.1)	257	AT2G22426.1	6241222	At.73765	NM_001124890		AT2G22426	-	hypothetical protein	protein-coding
R-34	Chr4	13815643	13816601	+	37803	NA	TTS (AT4G27660.1)	TTS (AT4G27660.1)	2014	AT4G27660.1	828880	At.54529	NM_118905		AT4G27660	T29A15.150|T29A15_150	hypothetical protein	protein-coding
R-36	Chr1	19225465	19226303	+	373816	NA	promoter-TSS (AT1G51805.1)	promoter-TSS (AT1G51805.1)	-194	AT1G51805.2	841607	At.22048	NM_001198271		AT1G51805	F19C24.2|F19C24_2	leucine-rich repeat protein kinase-like protein	protein-coding
R-37	Chr3	21830418	21832175	+	37201	NA	promoter-TSS (AT3G59060.4)	promoter-TSS (AT3G59060.4)	-789	AT3G59060.1	825075	At.67329	NM_001035812		PIL6	PHYTOCHROME-INTERACTING FACTOR 5|PIF5|phytochrome interacting factor 3-like 6	transcription factor PIF5	protein-coding
