PeakID (cmd=TPR1eds1_QuEST_peaks.bed tair10)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
R-10	Chr5	26900877	26902021	+	81,0962	NA	Intergenic	Intergenic	-2352	AT5G67411	3771574	At.65711	NM_001037090		AT5G67411	-	putative scarecrow-like protein 16	protein-coding
R-100	Chr3	4461671	4462597	+	28,7057	NA	promoter-TSS (AT3G13640.1)	promoter-TSS (AT3G13640.1)	-401	AT3G13640	820568	At.43389	NM_112210		RLI1	ATRLI1|RNAse l inhibitor protein 1	ABC transporter E family member 1	protein-coding
R-101	Chr3	22078066	22078574	+	28,5965	NA	promoter-TSS (AT3G59765.1)	promoter-TSS (AT3G59765.1)	19	AT3G59765	5008097				AT3G59765	-	ncRNA	ncRNA
R-102	Chr3	1107952	1108954	+	28,5965	NA	promoter-TSS (AT3G04210.1)	promoter-TSS (AT3G04210.1)	-384	AT3G04210	819576	At.18791	NM_111292		AT3G04210	T6K12.17|T6K12_17	TIR-NBS class disease resistance protein	protein-coding
R-104	Chr4	13749106	13749700	+	28,1599	NA	promoter-TSS (AT4G27510.1)	promoter-TSS (AT4G27510.1)	-372	AT4G27510	828860	At.71321	NM_001125598		AT4G27510	F27G19.110|F27G19_110	hypothetical protein	protein-coding
R-105	Chr3	18421440	18421791	+	28,0508	NA	TTS (AT3G49670.1)	TTS (AT3G49670.1)	-1034	AT3G49680	824130	At.25154	NM_001125330		BCAT3	ATBCAT-3|branched-chain aminotransferase 3	branched-chain-amino-acid aminotransferase 3	protein-coding
R-106	Chr1	3808806	3809545	+	27,7233	NA	promoter-TSS (AT1G11330.2)	promoter-TSS (AT1G11330.2)	-918	AT1G11330	837675	At.42140	NM_001198033		AT1G11330	T28P6.2|T28P6_2	putative receptor-like protein kinase	protein-coding
R-107	Chr4	18471841	18472694	+	27,7233	NA	promoter-TSS (AT4G39800.1)	promoter-TSS (AT4G39800.1)	-300	AT4G39800	830139	At.24599	NM_120143		MIPS1	ATIPS1|ATMIPS1|ATMIPS2|INOSITOL 3-PHOSPHATE SYNTHASE 1|MI-1-P SYNTHASE|MIPS2|MYO-INOSITOL-1-PHOSPHATE SYNTHASE|MYO-INOSITOL-1-PHOSTPATE SYNTHASE 1|MYO-INOSITOL-1-PHOSTPATE SYNTHASE 2|T19P19.190|T19P19_190|T5J17.3|myo-inositol-1-phosphate synthase 1|myo-inositol-1-phosphate synthase 2	inositol-3-phosphate synthase isozyme 1	protein-coding
R-11	Chr1	4879082	4879955	+	75,748	NA	TTS (AT1G14280.1)	TTS (AT1G14280.1)	1891	AT1G14280	837989	At.74218	NM_101294		PKS2	F14L17.4|F14L17_4|phytochrome kinase substrate 2	phytochrome kinase substrate 2	protein-coding
R-110	Chr3	6182558	6183240	+	26,9593	NA	promoter-TSS (AT3G18060.1)	promoter-TSS (AT3G18060.1)	-874	AT3G18060	821331	At.27343	NM_112688		AT3G18060	-	transducin/WD40 domain-containing protein	protein-coding
R-111	Chr4	524859	525571	+	26,741	NA	promoter-TSS (AT4G01250.1)	promoter-TSS (AT4G01250.1)	-999	AT4G01250	827896	At.3803	NM_116355		WRKY22	AtWRKY22|F2N1.6|F2N1_6	WRKY transcription factor 22	protein-coding
R-112	Chr5	21454355	21454827	+	26,5227	NA	promoter-TSS (AT5G52900.1)	promoter-TSS (AT5G52900.1)	165	AT5G52901	6241491	At.73347	NM_001125949		AT5G52901	-	hypothetical protein	protein-coding
R-115	Chr5	26100408	26100763	+	26,3044	NA	Intergenic	Intergenic	-3018	AT5G65305	3771560				AT5G65305	67923.TRNA-MET-1	tRNA	tRNA
R-117	Chr5	25018844	25019172	+	26,1953	NA	promoter-TSS (AT5G62290.1)	promoter-TSS (AT5G62290.1)	-479	AT5G62290	836350	At.29057	NM_001126006		AT5G62290	MMI9.12|MMI9_12	nucleotide-sensitive chloride conductance regulator family protein	protein-coding
